Name,SpType,LType,n_SpType,Sec,RA J2000 h:m:s,DE J2000 d:m:s,Vmag,Refs
HD 191201 ,O9.5 ,IV ,((n)) , ,20 07 23.692,+35 43 05.92,7.255,"H64,M98"
HD 191423 ,O9 ,III: ,n , ,20 08 07.113,+42 36 21.98,8.03,H64
HD 191612 ,O6.5 , ,f?pe , ,20 09 28.608,+35 44 01.31,7.778,M98
HD 191781 ,ON9.7 ,Iab ,  , ,20 09 50.581,+45 24 10.44,9.533,M04
HD 191978 ,O8.5 ,III ,((f)) , ,20 10 58.281,+41 21 09.91,8.02,H64
HD 192001 ,O9.5 ,IV ,  , ,20 11 01.706,+42 07 36.39,8.25,M04
HD 192281 ,O5 ,V ,n((f))p , ,20 12 33.121,+40 16 05.45,7.55,"H01,M98"
HD 192639 ,O7 ,Ib ,(f) , ,20 14 30.429,+37 21 13.83,7.117,M98
HD 228766 ,O4 ,I ,f ,O8-9 I n,20 17 29.703,+37 18 31.13,9.14,M04
HD 193322 AB ,O9 ,V: ,((n)) , ,20 18 06.977,+40 43 55.40,5.829,M98
HD 228841 ,O6.5 ,V ,n((f)) , ,20 18 29.692,+38 52 39.76,8.94,G92
HD 193443 AB ,O9 ,III ,  , ,20 18 51.707,+38 16 46.50,  ,M98
HD 193514 ,O7 ,Ib ,(f) , ,20 19 08.498,+39 16 24.23,7.407,M98
V444 Cyg ,O6-8 ,III: , ,WN4 ,20 19 32.423,+38 43 53.97,8,M95
WR 140 ,O4-5 ,  , ,WC7 ,20 20 27.976,+43 51 16.28,6.875,M98
HD 229196 ,O6 ,III ,(n)(f) , ,20 23 10.787,+40 52 29.85,8.516,G92
HD 194280 ,OC9.7 ,Iab ,  , ,20 23 26.313,+38 56 21.01,8.39,G92
HD 229232 ,O4 ,V ,n((f)) , ,20 23 59.183,+39 06 15.27,9.525,M04
BD +36 4063 ,ON9.7 ,Iab ,  , ,20 25 40.608,+37 22 27.08,9.71,G92
HD 195592 ,O9.7 ,Ia ,  , ,20 30 34.970,+44 18 54.87,7.08,M98
Cyg OB2-4 ,O7 ,III ,((f)) , ,20 32 13.823,+41 27 11.99,  ,W73
